,1,2,3,4,5,6,7,8,9,10,11,12,13
av_shots,3,3,3,3,3,2,3,3,2,3,3,3,3
av_shots_on_target,2,2,2,3,3,2,2,2,2,2,3,3,3
av_shots_outside_target,2,2,2,3,2,2,2,2,2,3,2,2,2
av_corners,3,2,1,1,2,1,1,2,2,2,2,3,3
av_fouls,1,1,1,1,1,1,1,1,1,1,1,1,1
av_yellows,1,1,1,1,2,1,1,1,1,1,1,1,1
av_reds,1,2,1,2,1,2,1,1,1,1,1,1,1
av_op_shots,3,2,3,2,3,3,3,3,3,3,3,3,3
av_op_shots_on_target,2,2,2,2,2,3,3,2,3,3,2,2,2
av_op_shots_outside_target,2,2,2,1,2,1,2,2,2,2,2,3,3
av_op_corners,2,2,2,1,1,2,2,2,2,2,3,3,2
av_op_fouls,1,1,1,1,1,1,1,1,1,1,1,1,1
av_op_yellows,1,1,1,1,1,1,1,1,1,2,1,1,1
av_op_reds,1,1,1,1,1,1,1,3,2,1,2,1,1
