"","av_shots","av_shots_on_target","av_shots_outside_target","av_corners","av_fouls","av_yellows","av_reds","av_op_shots","av_op_shots_on_target","av_op_shots_outside_target","av_op_corners","av_op_fouls","av_op_yellows","av_op_reds"
"1",57.08,57.5,52.92,53.33,50,49.58,43.33,53.33,55.42,53.33,49.58,51.25,52.5,45.83
"2",53.75,51.25,51.67,52.92,51.25,52.5,44.58,52.92,53.33,50.42,49.17,49.58,52.92,44.17
"3",51.67,55.42,51.67,55.42,50.83,51.25,45.42,52.08,50.83,51.25,49.17,48.33,51.25,45
"4",55,55,52.92,52.92,52.08,52.92,43.75,50.42,49.58,51.25,51.25,49.58,50,45.83
"5",55,55,54.58,50.83,50.83,55.42,46.67,51.25,48.75,51.67,52.92,52.08,56.25,47.08
"6",54.17,52.5,55.42,49.17,50.42,52.5,45.83,49.17,47.92,52.5,54.58,50,52.08,45.42
"7",55.83,55.83,55.83,51.25,55,50,48.33,51.67,48.33,51.67,52.92,52.08,50,46.25
"8",57.08,53.75,55.83,53.75,51.25,48.75,47.08,53.75,51.67,50.83,53.75,49.17,52.08,44.17
"9",53.75,52.08,54.17,55,49.17,54.17,45.42,51.25,50.42,50,52.92,50.83,52.08,45
"10",52.92,51.67,54.17,53.75,47.92,54.17,46.67,50,52.08,52.08,53.75,51.67,55,43.33
"11",51.67,52.08,52.5,51.25,47.92,52.92,48.33,51.67,50.42,52.5,54.58,51.67,54.58,47.5
"12",53.33,53.33,56.25,52.08,52.08,54.17,52.5,50,51.67,58.33,51.67,52.5,53.33,50.83
"13",51.67,60.83,51.67,52.92,52.08,49.58,48.33,50.83,60.83,51.67,52.92,49.17,48.75,49.58
