"","c3S","c4S","c5S"
"Leeds United",0.150442477876106,0.15929203539823,0.141592920353982
"Liverpool",0.150442477876106,0.141592920353982,0.15929203539823
"Leicester",0.148648648648649,0.189189189189189,0.135135135135135
"Bolton Wanderers",0.146666666666667,0.173333333333333,0.133333333333333
"Manchester United",0.144144144144144,0.153153153153153,0.144144144144144
"Arsenal",0.142857142857143,0.151785714285714,0.151785714285714
"Everton",0.141592920353982,0.176991150442478,0.123893805309735
"West Ham United",0.141592920353982,0.15929203539823,0.150442477876106
"Charlton Athletic",0.141592920353982,0.15929203539823,0.141592920353982
"Bradford City",0.135135135135135,0.135135135135135,0.189189189189189
"Coventry City",0.135135135135135,0.135135135135135,0.162162162162162
"Derby Country",0.135135135135135,0.189189189189189,0.121621621621622
"Birmingham City",0.135135135135135,0.135135135135135,0.162162162162162
"West Bromwich Albion",0.135135135135135,0.189189189189189,0.135135135135135
"Manchester City",0.133333333333333,0.146666666666667,0.146666666666667
"Blackburn Rovers",0.133333333333333,0.16,0.146666666666667
"Fulham",0.133333333333333,0.2,0.133333333333333
"Southampton",0.132743362831858,0.15929203539823,0.150442477876106
"Aston Villa",0.132743362831858,0.176991150442478,0.141592920353982
"Sunderland",0.132743362831858,0.168141592920354,0.132743362831858
"Tottenham",0.132743362831858,0.15929203539823,0.141592920353982
"Chelsea",0.132743362831858,0.168141592920354,0.141592920353982
"Middlesbrough",0.123893805309735,0.185840707964602,0.132743362831858
"Newcastle",0.123893805309735,0.15929203539823,0.15929203539823
"Ipswich Town",0.12,0.186666666666667,0.133333333333333
"Wolverhampton Wanderers",NA,NA,NA
"Portsmouth",NA,NA,NA
"Crystal Palace",NA,NA,NA
"Norwich City",NA,NA,NA
"Wigan Athletic",NA,NA,NA
"Watford",NA,NA,NA
"Sheffield United",NA,NA,NA
"Reading",NA,NA,NA
"Stoke City",NA,NA,NA
"Hull City",NA,NA,NA
"Burnley",NA,NA,NA
"Blackpool",NA,NA,NA
"Swansea",NA,NA,NA
"Queens Park Rangers",NA,NA,NA
"Cardiff City",NA,NA,NA
